AÑO,CATEGORÍAS,REGIONES,VOLUMEN
2013-01-01,Carne,Cataluña,391660.48
2013-01-01,Pesca,Cataluña,194479.74
2013-01-01,Leche líquida,Cataluña,455376.11
2013-01-01,Otras leches,Cataluña,3900.04
2013-01-01,Preparados lacteos,Cataluña,18112.99
2013-01-01,Derivados lacteos,Cataluña,253407.54
2013-01-01,Pan,Cataluña,243127.14
2013-01-01,Boll/Past/Gallet/Cere,Cataluña,94222.87
2013-01-01,Choco/Cacao/Suc,Cataluña,23394.62
2013-01-01,Arroz,Cataluña,29449.89
2013-01-01,Pasta,Cataluña,38930.69
2013-01-01,Azucar,Cataluña,26560.4
2013-01-01,Edulcorante,Cataluña,573.56
2013-01-01,Legumbre,Cataluña,28503.03
2013-01-01,Aceite,Cataluña,91264.18
2013-01-01,Margarina,Cataluña,4767.2
2013-01-01,Aceitunas,Cataluña,25284.89
2013-01-01,Vinagre,Cataluña,6802.23
2013-01-01,Zumos,Cataluña,78523.21
2013-01-01,Patatas,Cataluña,229422.74
2013-01-01,Hortalizas frescas,Cataluña,525394.91
2013-01-01,Frutas frescas,Cataluña,776269.57
2013-01-01,Frutos secos,Cataluña,21528.79
2013-01-01,Platos preparados,Cataluña,113610.5
2013-01-01,Cafés e infusiones,Cataluña,12606.55
2013-01-01,Caldos,Cataluña,1210.61
2013-01-01,Salsas,Cataluña,15139.38
2013-01-01,Agua,Cataluña,510004.4
2013-01-01,Refrescos,Cataluña,311576.9
2013-01-01,Harinas,Cataluña,14204.26
2013-01-01,Encurtidos,Cataluña,2861.81
2013-01-01,Especias,Cataluña,667.54
2013-01-01,Sal,Cataluña,9383.65
2013-01-01,Otros productos en peso,Cataluña,6813.79
2013-01-01,Otros productos en volumen,Cataluña,33935.18
2014-01-01,Huevos,Cataluña,56421.58
2014-01-01,Miel,Cataluña,3245.47
2014-01-01,Carne,Cataluña,363489.71
2014-01-01,Pesca,Cataluña,181113.08
2014-01-01,Leche líquida,Cataluña,429715.68
2014-01-01,Otras leches,Cataluña,3483.51
2014-01-01,Preparados lacteos,Cataluña,16906.92
2014-01-01,Derivados lacteos,Cataluña,245942.32
2014-01-01,Pan,Cataluña,221918.04
2014-01-01,Boll/Past/Gallet/Cere,Cataluña,91933.82
2014-01-01,Choco/Cacao/Suc,Cataluña,23334.08
2014-01-01,Arroz,Cataluña,29367.1
2014-01-01,Pasta,Cataluña,37485.38
2014-01-01,Azucar,Cataluña,25808.94
2014-01-01,Edulcorante,Cataluña,474.28
